respID,Gender,Ethnicity,Q3TeachBioinfor,Q5MoreCourses,Q6BioinfoCourses,Q7FacedBarriers,Q24CURE_SURE,Q31TeachUG,QID1,I lack expertise in bioinformatics,I lack experience in teaching bioinformatics....42,I lack time to restructure course(s),I lack the autonomy to add content to my course(s)....44,I lack space in my course(s) to add content....45,I lack curricular materials....46,I lack appropriate technical resources (internet access/software/hardware/IT support)....47,My student population lacks access to appropriate technical resources (internet access/software/hardware/IT support)....48,My student population lacks prerequisite skills.,My student population lacks interest in bioinformatics....50,I lack expertise in bioinformatics.,I lack experience in teaching bioinformatics....54,I lack time to restructure course(s).,I lack the autonomy to add content to my course(s)....56,I lack space in my course(s) to add content....57,I lack curricular materials....58,I lack appropriate technical resources (internet access/software/hardware/IT support)....59,My student population lacks access to appropriate technical resources (internet access/software/hardware/IT support)....60,My student population lacks prerequisite skills,My student population lacks interest in bioinformatics....62,BASIC2018_bins_text.Current,BASIC2018_bins.Current,BASIC2018_bins_text.TerminalDegree,URM,MSI.Current,HBCU.Current,HSI.Current,Q14 In which year did you earn your highest academic degree?,Q12 Which of the following best describes your level of bioinformatics training? Select ALL that apply.,MSI_text.Current,HSI_text.Current,HBCU_text.Current,SIZESET2018_bins_text.Current,CONTROL_text.Current,Q33 Which of the following represents your highest academic degree?
R175,M,Western European,"I teach some bioinformatics (e.g., one lecture/lab module) in a lower-level courses (1st/2nd year),I teach a substantial amount of bioinformatics (e.g., more than one lecture/lab module) in an upper-level courses (3rd/4th year)",Maybe,a bioinformatics-specific course,No,"yes, part of a CURE,yes, part of a SURE",yes,I AGREE to participate.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Doctoral/Professional Universities,3,NA,non-URM,0,2,0,2000-2009,self-taught,No,No,No,Large or Very Large,Public,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R177,F,Eastern European,I do not include bioinformatics in my teaching and do not plan to do so,No,a bioinformatics-specific course,NA,NA,yes,I AGREE to participate.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Associate's Colleges,1,Doctoral/Professional Universities,non-URM,0,2,0,2020 or later,undergraduate course(s),No,No,No,Medium,Public,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R179,F,African American,"I do not include bioinformatics in my teaching at this time, but do plan to do so",Yes,NA,Yes,NA,yes,I AGREE to participate.,I agree with this statement,I agree with this statement,I agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I do NOT agree with this statement,Moderate challenge,Moderate challenge,Moderate challenge,NA,NA,Moderate challenge,Severe challenge,Severe challenge,Severe challenge,NA,Associate's Colleges,1,Doctoral/Professional Universities,URM,0,2,0,2000-2009,"no training/experience,self-taught",No,No,No,Large or Very Large,Public,"Masters degree or equivalent (e.g., MS, MBA, MA, etc)"
R180,F,Hispanic,"I teach a substantial amount of bioinformatics (e.g., more than one lecture/lab module) in a lower-level courses (1st/2nd year)",Maybe,NA,Yes,"yes, part of a CURE",yes,I AGREE to participate.,I agree with this statement,I agree with this statement,I agree with this statement,NA,NA,I agree with this statement,NA,I agree with this statement,I agree with this statement,I agree with this statement,Moderate challenge,Minor challenge,Minor challenge,NA,NA,Moderate challenge,NA,Moderate challenge,Moderate challenge,Moderate challenge,Associate's Colleges,1,NA,URM,1,2,0,2000-2009,"self-taught,workshops or bootcamp",Yes,No,No,Medium,Public,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R182,M,Middle Eastern,"I teach some bioinformatics (e.g., one lecture/lab module) in an upper-level courses (3rd/4th year)",Yes,a bioinformatics-specific course,No,neither,yes,I AGREE to participate.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Doctoral/Professional Universities,3,Doctoral/Professional Universities,non-URM,1,1,0,1990-1999,"graduate course(s),graduate degree",Yes,No,Yes,Medium,Public,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R185,F,Western European,I teach a dedicated lower-level (1st/2nd) bioinformatics course(s),Yes,a bioinformatics-specific course,Yes,neither,yes,I AGREE to participate.,I agree with this statement,I agree with this statement,I agree with this statement,I do NOT agree with this statement,I agree with this statement,I agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I agree with this statement,I agree with this statement,Moderate challenge,Moderate challenge,Severe challenge,NA,Severe challenge,Severe challenge,NA,NA,Severe challenge,Severe challenge,Master's Colleges & Universities,4,Doctoral/Professional Universities,non-URM,0,2,0,1990-1999,self-taught,No,No,No,Medium,Private not-for-profit,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R187,M,Hispanic,NA,NA,NA,NA,NA,yes,I AGREE to participate.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Baccalaureate/Associate's Colleges: Associate's Dominant,2,NA,URM,0,2,0,NA,NA,No,No,No,Medium,Public,NA
R188,U,South Asian,"I teach some bioinformatics (e.g., one lecture/lab module) in an upper-level courses (3rd/4th year)",Yes,a bioinformatics-specific course,Yes,"yes, part of a CURE,yes, part of a SURE",yes,I AGREE to participate.,NA,I agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I do NOT agree with this statement,NA,Moderate challenge,NA,NA,Moderate challenge,Severe challenge,Severe challenge,Moderate challenge,Severe challenge,NA,Master's Colleges & Universities,4,Doctoral/Professional Universities,non-URM,0,2,0,2000-2009,"self-taught,undergraduate course(s)",No,No,No,Small or Very Small,Private not-for-profit,"Professional doctoral degrees or equivalent (MD, DVM, etc)"
R190,M,Mediterranean,"I teach some bioinformatics (e.g., one lecture/lab module) in an upper-level courses (3rd/4th year)",Yes,NA,Yes,"yes, part of a CURE",yes,I AGREE to participate.,I do NOT agree with this statement,I agree with this statement,I agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I agree with this statement,I do NOT agree with this statement,NA,Minor challenge,Severe challenge,NA,NA,Minor challenge,NA,NA,Moderate challenge,NA,Master's Colleges & Universities,4,Doctoral/Professional Universities,non-URM,1,2,1,2000-2009,"self-taught,undergraduate course(s)",Yes,Yes,No,Medium,Private not-for-profit,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R192,M,Mediterranean,"I teach a substantial amount of bioinformatics (e.g., more than one lecture/lab module) in an upper-level courses (3rd/4th year)",Yes,NA,Yes,"yes, part of a CURE",yes,I AGREE to participate.,I agree with this statement,I do NOT agree with this statement,I agree with this statement,I do NOT agree with this statement,I agree with this statement,I agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I agree with this statement,I agree with this statement,Severe challenge,NA,Moderate challenge,NA,Minor challenge,Moderate challenge,NA,NA,Minor challenge,Moderate challenge,Baccalaureate Colleges,5,Doctoral/Professional Universities,non-URM,0,2,0,2000-2009,"workshops or bootcamp,undergraduate course(s)",No,No,No,Small or Very Small,Public,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R194,M,Western European,"I teach some bioinformatics (e.g., one lecture/lab module) in a lower-level courses (1st/2nd year)",Yes,a bioinformatics-specific course,No,"yes, part of a CURE,yes, part of a SURE",yes,I AGREE to participate.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's Colleges & Universities,4,NA,non-URM,0,2,0,1980-1989,"self-taught,workshops or bootcamp",No,No,No,Medium,Public,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R195,F,Western European,"I do not include bioinformatics in my teaching at this time, but do plan to do so",Maybe,NA,Yes,NA,yes,I AGREE to participate.,I agree with this statement,I agree with this statement,I agree with this statement,I do NOT agree with this statement,I agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I agree with this statement,I agree with this statement,Minor challenge,Minor challenge,Moderate challenge,NA,Severe challenge,NA,NA,NA,Moderate challenge,Severe challenge,Baccalaureate Colleges,5,Doctoral/Professional Universities,non-URM,0,2,0,2010-2019,self-taught,No,No,No,Small or Very Small,Private not-for-profit,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R196,M,Western European,I teach a dedicated upper-level (3rd/4th) bioinformatics course(s),Yes,a bioinformatics-specific course,Yes,neither,yes,I AGREE to participate.,I do NOT agree with this statement,I do NOT agree with this statement,I agree with this statement,NA,I do NOT agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I do NOT agree with this statement,NA,NA,Moderate challenge,NA,NA,Moderate challenge,Minor challenge,Minor challenge,Severe challenge,NA,Doctoral/Professional Universities,3,Doctoral/Professional Universities,non-URM,0,2,0,2010-2019,self-taught,No,No,No,Large or Very Large,Public,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R199,U,Jewish,"I do not include bioinformatics in my teaching at this time, but do plan to do so",Yes,a bioinformatics-specific course,Yes,NA,yes,I AGREE to participate.,I do NOT agree with this statement,I do NOT agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,NA,NA,Severe challenge,Moderate challenge,Severe challenge,Minor challenge,Minor challenge,Severe challenge,Severe challenge,Moderate challenge,Doctoral/Professional Universities,3,Doctoral/Professional Universities,non-URM,0,2,0,2010-2019,graduate course(s),No,No,No,Medium,Private not-for-profit,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R202,F,Western European,I do not include bioinformatics in my teaching and do not plan to do so,Yes,NA,NA,NA,yes,I AGREE to participate.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Doctoral/Professional Universities,3,Doctoral/Professional Universities,non-URM,1,2,1,1990-1999,self-taught,Yes,Yes,No,Large or Very Large,Public,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R207,F,Western European,"I teach some bioinformatics (e.g., one lecture/lab module) in a lower-level courses (1st/2nd year)",Yes,a bioinformatics-specific course,Yes,neither,yes,I AGREE to participate.,I do NOT agree with this statement,I agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I agree with this statement,I do NOT agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,NA,Minor challenge,NA,NA,Moderate challenge,NA,Moderate challenge,Moderate challenge,Moderate challenge,Moderate challenge,Master's Colleges & Universities,4,Doctoral/Professional Universities,non-URM,0,2,0,1990-1999,self-taught,No,No,No,Medium,Public,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R209,F,African American,I do not include bioinformatics in my teaching and do not plan to do so,Maybe,NA,Yes,NA,yes,I AGREE to participate.,I agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,Minor challenge,Minor challenge,Moderate challenge,Moderate challenge,Severe challenge,Moderate challenge,Minor challenge,Severe challenge,Severe challenge,Severe challenge,Associate's Colleges,1,Doctoral/Professional Universities,URM,1,2,1,2000-2009,no training/experience,Yes,Yes,No,Large or Very Large,Public,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R210,M,Western European,"I teach a substantial amount of bioinformatics (e.g., more than one lecture/lab module) in an upper-level courses (3rd/4th year)",Yes,"a bioinformatics-specific course,a bioinformatics major",No,neither,yes,I AGREE to participate.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Doctoral/Professional Universities,3,Doctoral/Professional Universities,non-URM,0,2,0,2010-2019,self-taught,No,No,No,Large or Very Large,Private not-for-profit,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R211,F,African American,I do not include bioinformatics in my teaching and do not plan to do so,Yes,NA,Yes,NA,yes,I AGREE to participate.,I agree with this statement,I agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I agree with this statement,I agree with this statement,I do NOT agree with this statement,I agree with this statement,I do NOT agree with this statement,Minor challenge,Minor challenge,NA,NA,NA,Severe challenge,Moderate challenge,NA,Severe challenge,NA,Special Focus Four-Year,7,Doctoral/Professional Universities,URM,0,2,0,1980-1989,"self-taught,workshops or bootcamp",No,No,No,Small or Very Small,Public,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R214,M,African American,"I do not include bioinformatics in my teaching at this time, but do plan to do so",Yes,NA,Yes,NA,yes,I AGREE to participate.,I agree with this statement,I agree with this statement,I agree with this statement,I do NOT agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,Severe challenge,Moderate challenge,Moderate challenge,NA,Severe challenge,Moderate challenge,Minor challenge,Moderate challenge,Severe challenge,Minor challenge,Baccalaureate/Associate's Colleges: Associate's Dominant,2,Doctoral/Professional Universities,URM,1,2,1,2010-2019,"no training/experience,self-taught",Yes,Yes,No,Large or Very Large,Public,"Masters degree or equivalent (e.g., MS, MBA, MA, etc)"
R216,F,Eastern European,I do not include bioinformatics in my teaching and do not plan to do so,Maybe,NA,NA,NA,yes,I AGREE to participate.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Doctoral/Professional Universities,3,NA,non-URM,0,2,0,NA,NA,No,No,No,Large or Very Large,Private not-for-profit,NA
R220,F,Western European,"I do not include bioinformatics in my teaching at this time, but do plan to do so",Maybe,NA,No,NA,yes,I AGREE to participate.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Associate's Colleges,1,NA,non-URM,0,2,0,2000-2009,no training/experience,No,No,No,Small or Very Small,Public,"Masters degree or equivalent (e.g., MS, MBA, MA, etc)"
R221,M,Western European,"I teach some bioinformatics (e.g., one lecture/lab module) in an upper-level courses (3rd/4th year)",Yes,a bioinformatics-specific course,Yes,neither,yes,I AGREE to participate.,I agree with this statement,I agree with this statement,I agree with this statement,I do NOT agree with this statement,I agree with this statement,I do NOT agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,Minor challenge,Moderate challenge,Moderate challenge,NA,Severe challenge,NA,Severe challenge,Moderate challenge,Severe challenge,Moderate challenge,Doctoral/Professional Universities,3,Doctoral/Professional Universities,non-URM,0,2,0,1980-1989,workshops or bootcamp,No,No,No,Large or Very Large,Public,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R224,U,African American,I teach a dedicated upper-level (3rd/4th) bioinformatics course(s),No,a bioinformatics-specific course,Yes,neither,yes,I AGREE to participate.,I do NOT agree with this statement,I do NOT agree with this statement,I agree with this statement,I do NOT agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,NA,NA,Minor challenge,NA,Moderate challenge,Minor challenge,Moderate challenge,NA,NA,NA,Baccalaureate Colleges,5,NA,URM,1,1,0,2010-2019,"self-taught,workshops or bootcamp,online course(s) (i.e., Coursera),graduate degree",Yes,No,Yes,Small or Very Small,Private not-for-profit,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
